Region,Business,Name,Status,RiskCategory,RiskSubCategory,DiscoveryDate,OccurrenceStartDate,NetLoss,RecoveryAmount,EstimatedGrossLoss
Asia Pac,Retail Banking,z-LE-486,Under Review,External Fraud,Theft and Fraud,2013-08-02,2013-08-05,6415.88,2181.4,8600
North America,Retail Banking,z-LE-83,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-08-04,2013-08-07,33925.01,10177.5,44900
North America,Retail Banking,LE-06-008,Not Started,External Fraud,Theft and Fraud,2013-08-07,2013-08-04,250000,55000,250000
North America,Retail Brokerage,LE-06-015,Not Started,"Clients, Products and Business Practices",Improper Business or Market Practices,2013-08-07,2013-08-07,1000000,270000,3000000
Asia Pac,Retail Banking,z-LE-487,Approved,External Fraud,Theft and Fraud,2013-08-08,2013-08-09,72035.07,14407.01,80700
North America,Trading and Sales,z-LE-488,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-08-08,2013-08-11,1046916.05,230321.53,1038100
Asia Pac,Trading and Sales,z-LE-356,Not Started,Employment Practices and Workplace Safety,Diversity and Discrimination,2013-08-10,2013-08-13,603680.85,187141.06,603200
EMEA,Retail Banking,z-LE-355,Approved,External Fraud,Theft and Fraud,2013-08-10,2013-08-11,203358.91,54906.91,210100
EMEA,Retail Banking,z-LE-489,In Progress,External Fraud,Systems Security,2013-08-13,2013-08-15,26938.34,7003.97,24600
EMEA,Retail Banking,z-LE-490,Under Review,External Fraud,Theft and Fraud,2013-08-17,2013-08-18,219564.82,59282.5,231200
North America,Retail Banking,z-LE-492,Not Started,External Fraud,Theft and Fraud,2013-08-17,2013-08-20,167003.26,60121.17,173700
EMEA,Retail Banking,z-LE-84,Not Started,External Fraud,Systems Security,2013-08-18,2013-08-19,253566.8,96355.38,261200
North America,Retail Banking,z-LE-491,Approved,External Fraud,Theft and Fraud,2013-08-18,2013-08-19,202554.81,76970.83,214600
EMEA,Retail Banking,z-LE-357,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2013-08-26,2013-08-27,163232.76,52234.48,165100
Asia Pac,Retail Banking,z-LE-493,Not Started,"Clients, Products and Business Practices",Advisory Activities,2013-08-31,2013-09-01,124949.26,34985.79,140200
EMEA,Retail Banking,z-LE-494,In Progress,Business Disruption and System Failures,Infrastructure and Systems,2013-09-01,2013-09-02,35412.96,13811.05,49100
EMEA,Agency Services,z-LE-496,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-09-01,2013-09-04,439280.1,118605.63,437700
EMEA,Retail Banking,z-LE-497,Not Started,External Fraud,Systems Security,2013-09-02,2013-09-04,174257.17,55762.29,182900
North America,Retail Banking,z-LE-85,Under Review,External Fraud,Theft and Fraud,2013-09-02,2013-09-05,95850.34,22045.58,111500
Asia Pac,Asset Management,z-LE-495,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2013-09-03,2013-09-04,87001.93,18270.41,103000
EMEA,Retail Brokerage,z-LE-358,Under Review,External Fraud,Systems Security,2013-09-03,2013-09-06,98438.36,33469.04,102000
EMEA,Retail Banking,z-LE-86,Not Started,External Fraud,Theft and Fraud,2013-09-03,2013-09-05,12382.63,3467.14,19100
Asia Pac,Retail Banking,z-LE-359,Approved,External Fraud,Theft and Fraud,2013-09-05,2013-09-06,271498.03,54299.61,269600
EMEA,Retail Banking,z-LE-361,Not Started,External Fraud,Theft and Fraud,2013-09-05,2013-09-08,213730.3,55569.88,209200
North America,Retail Banking,z-LE-88,Rejected,External Fraud,Theft and Fraud,2013-09-06,2013-09-09,144586.99,47713.71,145400
North America,Retail Banking,LE-06-009,Not Started,External Fraud,Theft and Fraud,2013-09-07,2013-09-04,200000,66000,200000
North America,Agency Services,z-LE-87,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-09-07,2013-09-08,423836.78,84767.36,424500
EMEA,Retail Banking,z-LE-498,In Progress,External Fraud,Theft and Fraud,2013-09-09,2013-09-12,80039.35,18409.05,96700
EMEA,Retail Banking,z-LE-90,Under Review,Employment Practices and Workplace Safety,Safe Environment,2013-09-09,2013-09-12,117283.68,46913.47,126200
Asia Pac,Retail Banking,z-LE-89,In Progress,External Fraud,Systems Security,2013-09-10,2013-09-11,264711.35,55589.38,269300
EMEA,Retail Banking,z-LE-91,Approved,External Fraud,Theft and Fraud,2013-09-12,2013-09-13,163717.28,49115.18,167600
North America,Commercial Banking,z-LE-364,Approved,External Fraud,Systems Security,2013-09-15,2013-09-18,373422.86,85887.26,384600
North America,Retail Banking,z-LE-93,In Progress,External Fraud,Theft and Fraud,2013-09-15,2013-09-17,165618.94,49685.68,175000
North America,Agency Services,z-LE-363,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-09-16,2013-09-17,285400.85,88474.26,295400
North America,Retail Banking,z-LE-92,Not Started,External Fraud,Theft and Fraud,2013-09-16,2013-09-17,93295.99,33586.56,99400
North America,Retail Banking,z-LE-95,Approved,Damage to Physical Assets,Disaster and other events,2013-09-16,2013-09-19,130746.45,43146.33,131800
EMEA,Commercial Banking,z-LE-499,Under Review,"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",2013-09-17,2013-09-19,866020.91,311767.53,859700
EMEA,Retail Brokerage,z-LE-500,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-09-17,2013-09-20,308084.98,61617,312100
EMEA,Commercial Banking,z-LE-94,Under Review,External Fraud,Systems Security,2013-09-17,2013-09-18,807358.9,266428.44,821500
North America,Retail Banking,z-LE-96,Not Started,External Fraud,Theft and Fraud,2013-09-18,2013-09-21,12413.33,2730.93,15600
North America,Retail Banking,z-LE-366,In Progress,External Fraud,Theft and Fraud,2013-09-19,2013-09-22,56108.06,17954.58,58800
North America,Retail Banking,z-LE-365,Not Started,External Fraud,Theft and Fraud,2013-09-20,2013-09-21,244942.68,88179.36,256400
North America,Retail Banking,z-LE-501,Not Started,Employment Practices and Workplace Safety,Employee Relations,2013-09-20,2013-09-23,178655.56,44663.89,187700
Asia Pac,Agency Services,z-LE-97,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-09-21,2013-09-22,673749.81,222337.44,671200
North America,Retail Banking,z-LE-98,In Progress,External Fraud,Theft and Fraud,2013-09-23,2013-09-26,139471.8,37657.39,144100
EMEA,Agency Services,z-LE-502,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-09-24,2013-09-25,632562.6,132838.15,640900
North America,Retail Banking,z-LE-367,Under Review,External Fraud,Theft and Fraud,2013-09-25,2013-09-28,90963.65,24560.19,106300
EMEA,Retail Banking,z-LE-368,Approved,Internal Fraud,Theft and Fraud,2013-09-27,2013-09-29,82756.78,20689.2,97900
North America,Trading and Sales,z-LE-503,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2013-09-29,2013-10-02,639025.71,230049.26,635200
North America,Trading and Sales,z-LE-504,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-10-02,2013-10-03,963078.74,192615.75,959300
EMEA,Commercial Banking,z-LE-369,Not Started,External Fraud,Systems Security,2013-10-04,2013-10-06,243101.65,94809.64,243100
EMEA,Retail Banking,z-LE-370,Not Started,External Fraud,Theft and Fraud,2013-10-04,2013-10-07,21095.02,4219,27400
EMEA,Retail Banking,z-LE-505,Under Review,Employment Practices and Workplace Safety,Safe Environment,2013-10-04,2013-10-05,176254.87,42301.17,188600
North America,Retail Banking,z-LE-371,Under Review,External Fraud,Theft and Fraud,2013-10-06,2013-10-08,67345.59,20203.68,78900
Asia Pac,Commercial Banking,z-LE-99,Under Review,External Fraud,Theft and Fraud,2013-10-07,2013-10-08,344640.16,134409.66,339700
EMEA,Retail Banking,z-LE-100,Approved,External Fraud,Systems Security,2013-10-07,2013-10-10,251469.94,95558.58,263400
North America,Commercial Banking,LE-06-003,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-10-07,2013-08-04,1000000,260000,1000000
North America,Corporate Finance,LE-06-010,Not Started,Business Disruption and System Failures,Infrastructure and Systems,2013-10-07,2013-10-04,100000,24000,3000000
North America,Retail Brokerage,LE-06-011,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2013-10-07,2013-10-07,1700000,408000,1700000
Asia Pac,Retail Banking,z-LE-102,In Progress,External Fraud,Theft and Fraud,2013-10-08,2013-10-11,257339.87,61761.57,266400
EMEA,Retail Banking,z-LE-101,Not Started,External Fraud,Theft and Fraud,2013-10-09,2013-10-10,176588.19,51210.58,184700
EMEA,Asset Management,z-LE-506,Rejected,"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",2013-10-09,2013-10-12,242433.37,75154.34,247800
North America,Retail Brokerage,z-LE-372,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2013-10-10,2013-10-13,122852.65,49141.06,119700
North America,Trading and Sales,z-LE-373,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-10-12,2013-10-15,394591.93,78918.39,386200
Asia Pac,Retail Banking,z-LE-374,Rejected,External Fraud,Theft and Fraud,2013-10-15,2013-10-18,99838.03,25957.89,101900
EMEA,Trading and Sales,z-LE-507,In Progress,"Execution, Delivery and Process Management",Vendors and Suppliers,2013-10-18,2013-10-20,1041508.13,229131.79,1056400
EMEA,Retail Banking,z-LE-375,In Progress,External Fraud,Systems Security,2013-10-19,2013-10-20,226975.79,74902.01,223900
North America,Retail Banking,z-LE-104,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-10-19,2013-10-22,45684.72,13705.42,51000
Asia Pac,Retail Banking,z-LE-508,Under Review,External Fraud,Theft and Fraud,2013-10-20,2013-10-21,269574.1,56610.56,282300
EMEA,Trading and Sales,z-LE-103,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2013-10-20,2013-10-21,1024163.2,409665.28,1025200
North America,Retail Banking,z-LE-106,Not Started,"Clients, Products and Business Practices",Improper Business or Market Practices,2013-10-23,2013-10-26,278250.07,75127.52,274500
North America,Retail Brokerage,z-LE-376,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-10-26,2013-10-27,252185.49,83221.21,255100
EMEA,Retail Banking,z-LE-377,Approved,External Fraud,Theft and Fraud,2013-10-27,2013-10-29,109901.91,35168.61,108100
North America,Retail Brokerage,z-LE-107,Under Review,"Clients, Products and Business Practices",Product Flaws,2013-10-28,2013-10-29,67440.61,24278.62,65300
North America,Retail Banking,z-LE-378,Not Started,External Fraud,Theft and Fraud,2013-10-28,2013-10-31,170794.48,47822.45,177000
North America,Agency Services,z-LE-108,Not Started,"Execution, Delivery and Process Management",Vendors and Suppliers,2013-10-29,2013-11-01,750327.81,187581.95,760300
Asia Pac,Trading and Sales,z-LE-109,Under Review,"Execution, Delivery and Process Management",Customer/Client Account Management,2013-10-31,2013-11-02,561737.86,140434.47,561800
Asia Pac,Retail Banking,z-LE-509,Approved,"Clients, Products and Business Practices",Improper Business or Market Practices,2013-10-31,2013-11-01,268043.98,72371.87,275200
EMEA,Retail Banking,z-LE-379,In Progress,External Fraud,Theft and Fraud,2013-10-31,2013-11-02,18734.42,4308.92,36600
EMEA,Trading and Sales,z-LE-380,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-11-01,2013-11-02,135080.96,35121.05,141100
Asia Pac,Retail Banking,z-LE-111,In Progress,External Fraud,Systems Security,2013-11-02,2013-11-05,30978.32,8673.93,32200
North America,Commercial Banking,z-LE-110,Rejected,"Clients, Products and Business Practices",Advisory Activities,2013-11-02,2013-11-03,329053.88,65810.78,338100
North America,Commercial Banking,z-LE-112,Under Review,"Execution, Delivery and Process Management",Transaction/Data Management,2013-11-03,2013-11-06,734047.12,146809.42,731700
EMEA,Retail Banking,z-LE-113,Approved,External Fraud,Theft and Fraud,2013-11-04,2013-11-07,154373.74,40137.17,160600
EMEA,Retail Banking,z-LE-510,Not Started,External Fraud,Theft and Fraud,2013-11-05,2013-11-08,196898.56,53162.61,193400
Asia Pac,Trading and Sales,z-LE-114,Not Started,"Clients, Products and Business Practices",Product Flaws,2013-11-06,2013-11-09,295581.72,85718.7,305500
North America,Retail Banking,z-LE-381,Approved,External Fraud,Systems Security,2013-11-06,2013-11-08,162310.79,42200.81,156900
Asia Pac,Asset Management,z-LE-511,In Progress,"Execution, Delivery and Process Management",Customer/Client Account Management,2013-11-08,2013-11-09,12498.1,2749.58,16800
Asia Pac,Retail Banking,z-LE-512,Under Review,External Fraud,Systems Security,2013-11-08,2013-11-11,191879.92,76751.97,188300
EMEA,Trading and Sales,z-LE-382,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2013-11-08,2013-11-11,918660.72,220478.57,929900
Asia Pac,Retail Banking,z-LE-383,Rejected,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-11-11,2013-11-12,84870.68,25461.2,103200
North America,Trading and Sales,z-LE-513,Approved,"Execution, Delivery and Process Management",Transaction/Data Management,2013-11-11,2013-11-14,913291.6,255721.65,910300
North America,Retail Banking,z-LE-115,In Progress,External Fraud,Theft and Fraud,2013-11-14,2013-11-16,224606.8,56151.7,218600
Asia Pac,Retail Banking,z-LE-116,Rejected,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-11-15,2013-11-18,140156.43,54661.01,141600
EMEA,Trading and Sales,z-LE-385,Under Review,"Execution, Delivery and Process Management",Vendors and Suppliers,2013-11-15,2013-11-17,952743.86,257240.84,952800
EMEA,Retail Banking,z-LE-514,Not Started,External Fraud,Theft and Fraud,2013-11-15,2013-11-17,170323.48,68129.39,163600
North America,Retail Banking,z-LE-384,In Progress,Employment Practices and Workplace Safety,Employee Relations,2013-11-15,2013-11-16,18952.97,4738.24,27600
North America,Trading and Sales,z-LE-386,Approved,"Execution, Delivery and Process Management",Customer/Client Account Management,2013-11-16,2013-11-19,158330.78,55415.77,163400
Asia Pac,Retail Banking,z-LE-515,Rejected,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-11-17,2013-11-20,256177.92,84538.71,255700
EMEA,Trading and Sales,z-LE-516,In Progress,"Clients, Products and Business Practices",Product Flaws,2013-11-18,2013-11-21,61408.12,13509.79,58500
EMEA,Retail Banking,z-LE-117,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2013-11-19,2013-11-22,77066.5,18495.96,79100
North America,Retail Banking,z-LE-387,Not Started,External Fraud,Theft and Fraud,2013-11-19,2013-11-22,175055.13,38512.13,175700
North America,Retail Banking,z-LE-517,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2013-11-20,2013-11-23,193684.14,52294.72,207200
Asia Pac,Commercial Banking,z-LE-518,Approved,External Fraud,Theft and Fraud,2013-11-22,2013-11-25,697433.55,139486.71,709500
North America,Retail Banking,z-LE-519,Not Started,Internal Fraud,Unauthorized Activity,2013-11-23,2013-11-26,34898.19,7328.62,31900
EMEA,Corporate Finance,z-LE-520,In Progress,Employment Practices and Workplace Safety,Safe Environment,2013-11-25,2013-11-28,1533864.48,398804.76,1538900
EMEA,Retail Banking,z-LE-118,Not Started,External Fraud,Theft and Fraud,2013-11-29,2013-12-01,154526.03,49448.33,153700
EMEA,Retail Banking,z-LE-389,Under Review,External Fraud,Theft and Fraud,2013-11-29,2013-11-30,132154.47,46254.06,145900
North America,Corporate Finance,z-LE-388,In Progress,"Execution, Delivery and Process Management",Transaction/Data Management,2013-11-29,2013-11-30,10765087.47,2153017.49,10783000
North America,Retail Banking,z-LE-521,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-11-30,2013-12-03,56094.19,16828.26,53900
EMEA,Retail Banking,z-LE-522,Approved,Damage to Physical Assets,Willful Damage,2013-12-01,2013-12-04,217607.19,65282.16,222700
Asia Pac,Retail Banking,z-LE-391,Rejected,External Fraud,Systems Security,2013-12-03,2013-12-06,52985.45,15895.64,64100
EMEA,Retail Banking,z-LE-390,Approved,External Fraud,Theft and Fraud,2013-12-03,2013-12-04,179902.06,64764.74,181800
EMEA,Retail Banking,z-LE-392,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2013-12-03,2013-12-06,177173.14,42521.55,174000
EMEA,Retail Banking,z-LE-119,Not Started,"Clients, Products and Business Practices",Advisory Activities,2013-12-05,2013-12-06,77504.95,31001.98,78000
Asia Pac,Trading and Sales,z-LE-120,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-12-06,2013-12-08,38620.29,12358.49,49200
Asia Pac,Retail Banking,z-LE-393,Rejected,External Fraud,Theft and Fraud,2013-12-06,2013-12-08,86495.21,24218.66,83300
Asia Pac,Retail Banking,z-LE-523,Rejected,External Fraud,Theft and Fraud,2013-12-06,2013-12-07,31976.92,9912.85,44400
North America,Retail Banking,z-LE-121,Under Review,External Fraud,Systems Security,2013-12-09,2013-12-12,180406.43,36081.29,172700
North America,Trading and Sales,z-LE-122,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2013-12-10,2013-12-13,21543.15,4739.49,31300
Asia Pac,Retail Banking,z-LE-525,Under Review,Internal Fraud,Theft and Fraud,2013-12-12,2013-12-15,145905.75,51067.01,157300
North America,Asset Management,z-LE-394,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2013-12-14,2013-12-15,567884.51,227153.8,569500
North America,Retail Brokerage,z-LE-524,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2013-12-14,2013-12-15,310248.09,68254.58,306400
EMEA,Retail Brokerage,z-LE-123,Not Started,Employment Practices and Workplace Safety,Safe Environment,2013-12-15,2013-12-16,279409.55,94999.25,279000
EMEA,Retail Banking,z-LE-124,In Progress,External Fraud,Theft and Fraud,2013-12-15,2013-12-18,8946.7,3578.68,21500
North America,Trading and Sales,z-LE-126,Approved,"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",2013-12-16,2013-12-19,616953.59,246781.44,624300
North America,Retail Banking,z-LE-125,Under Review,External Fraud,Theft and Fraud,2013-12-17,2013-12-19,122767.05,35602.44,139500
North America,Retail Banking,z-LE-395,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-12-18,2013-12-21,30896.66,10813.83,41700
North America,Agency Services,z-LE-526,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-12-18,2013-12-20,226270.85,74669.38,240000
EMEA,Retail Banking,z-LE-127,Not Started,External Fraud,Theft and Fraud,2013-12-21,2013-12-22,90594.59,35331.89,100200
EMEA,Retail Banking,z-LE-128,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-12-21,2013-12-24,195870.46,58761.14,206600
Asia Pac,Retail Banking,z-LE-396,Rejected,External Fraud,Theft and Fraud,2013-12-23,2013-12-26,118582.14,33203,133300
Asia Pac,Retail Banking,z-LE-527,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-12-24,2013-12-25,33424.31,11698.51,37200
North America,Retail Banking,z-LE-398,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2013-12-24,2013-12-26,50738.44,18773.22,48900
North America,Commercial Banking,z-LE-528,Rejected,External Fraud,Systems Security,2013-12-24,2013-12-27,112527.96,31507.83,118600
EMEA,Agency Services,z-LE-397,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2013-12-25,2013-12-26,745078.26,245875.83,759000
North America,Retail Banking,z-LE-129,Under Review,Employment Practices and Workplace Safety,Diversity and Discrimination,2013-12-25,2013-12-27,257002.61,97660.99,275900
Asia Pac,Retail Banking,z-LE-130,Rejected,Employment Practices and Workplace Safety,Employee Relations,2013-12-28,2013-12-29,583.11,128.28,-5300
North America,Retail Banking,z-LE-399,Approved,Internal Fraud,Unauthorized Activity,2013-12-28,2013-12-30,190330.5,59002.46,194300
North America,Trading and Sales,z-LE-529,In Progress,External Fraud,Theft and Fraud,2014-01-03,2014-01-06,162538.65,61764.69,173000
North America,Retail Banking,z-LE-530,Under Review,Employment Practices and Workplace Safety,Diversity and Discrimination,2014-01-04,2014-01-07,214323.61,53580.9,224200
North America,Retail Banking,z-LE-531,Approved,External Fraud,Theft and Fraud,2014-01-04,2014-01-07,93890.26,33800.49,90600
North America,Trading and Sales,z-LE-532,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2014-01-08,2014-01-09,393801.49,141768.54,404600
North America,Retail Banking,z-LE-533,In Progress,External Fraud,Theft and Fraud,2014-01-12,2014-01-13,12591.11,4280.98,14700
Asia Pac,Trading and Sales,z-LE-534,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2014-01-13,2014-01-16,606331.9,218279.48,613500
EMEA,Retail Banking,z-LE-536,Not Started,External Fraud,Systems Security,2014-01-13,2014-01-16,220785.08,72859.08,213900
North America,Retail Banking,z-LE-535,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2014-01-15,2014-01-16,551.81,176.58,-5400
EMEA,Retail Banking,z-LE-537,Not Started,External Fraud,Theft and Fraud,2014-01-22,2014-01-25,96009.02,19201.8,95600
EMEA,Trading and Sales,z-LE-538,In Progress,"Execution, Delivery and Process Management",Vendors and Suppliers,2014-01-24,2014-01-25,122813.21,38072.1,132200
North America,Retail Banking,z-LE-539,Under Review,External Fraud,Theft and Fraud,2014-01-25,2014-01-26,184788.87,64676.1,197600
Asia Pac,Retail Banking,z-LE-540,Approved,"Execution, Delivery and Process Management",Customer/Client Account Management,2014-01-26,2014-01-28,84325.04,22767.76,102400
North America,Trading and Sales,z-LE-541,Not Started,External Fraud,Theft and Fraud,2014-01-30,2014-01-31,509998.62,183599.5,517700
Asia Pac,Retail Banking,z-LE-545,Not Started,Employment Practices and Workplace Safety,Employee Relations,2014-02-02,2014-02-05,2793.82,558.76,1000
EMEA,Retail Banking,z-LE-543,Under Review,External Fraud,Theft and Fraud,2014-02-02,2014-02-04,190318.01,43773.14,198200
North America,Retail Banking,z-LE-544,Approved,External Fraud,Theft and Fraud,2014-02-02,2014-02-05,171533.6,49744.74,171000
North America,Commercial Banking,z-LE-546,Not Started,Employment Practices and Workplace Safety,Safe Environment,2014-02-02,2014-02-05,405195.68,162078.27,404300
EMEA,Commercial Banking,z-LE-542,In Progress,External Fraud,Systems Security,2014-02-03,2014-02-04,791913.92,308846.43,796900
North America,Retail Brokerage,z-LE-548,Not Started,External Fraud,Theft and Fraud,2014-02-14,2014-02-17,144768,33296.64,153100
North America,Retail Banking,z-LE-547,Under Review,"Execution, Delivery and Process Management",Transaction/Data Management,2014-02-15,2014-02-16,1029.93,319.28,1900
Asia Pac,Trading and Sales,z-LE-550,Rejected,"Execution, Delivery and Process Management",Customer Intake and Documentation,2014-02-16,2014-02-19,263815.13,87058.99,275600
Asia Pac,Retail Banking,z-LE-549,Under Review,Employment Practices and Workplace Safety,Diversity and Discrimination,2014-02-17,2014-02-18,173525.14,60733.8,190000
EMEA,Retail Brokerage,z-LE-551,In Progress,"Clients, Products and Business Practices",Advisory Activities,2014-02-17,2014-02-19,93763.92,30942.09,100600
North America,Trading and Sales,z-LE-552,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2014-02-19,2014-02-20,873026.61,349210.64,872500
Asia Pac,Retail Banking,z-LE-553,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2014-02-20,2014-02-23,211793.33,44476.6,205200
Asia Pac,Commercial Banking,z-LE-554,Not Started,"Clients, Products and Business Practices",Product Flaws,2014-02-27,2014-03-02,242755.18,94674.52,240000
North America,Trading and Sales,z-LE-555,In Progress,Business Disruption and System Failures,Infrastructure and Systems,2014-03-03,2014-03-06,807828,218113.56,814600
Asia Pac,Trading and Sales,z-LE-557,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2014-03-04,2014-03-07,339306.81,84826.7,342900
North America,Trading and Sales,z-LE-556,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2014-03-04,2014-03-06,455874.97,145879.99,463900
EMEA,Retail Banking,z-LE-558,Not Started,External Fraud,Systems Security,2014-03-05,2014-03-08,191367.61,76547.04,189700
Asia Pac,Retail Banking,z-LE-559,Rejected,External Fraud,Theft and Fraud,2014-03-10,2014-03-13,93570.31,30878.2,91300
North America,Retail Banking,z-LE-560,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2014-03-13,2014-03-16,32751.31,11462.96,43700
Asia Pac,Retail Banking,z-LE-561,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2014-03-15,2014-03-17,188988.56,49137.03,201900
EMEA,Retail Banking,z-LE-562,Approved,External Fraud,Theft and Fraud,2014-03-15,2014-03-17,89624.4,34057.27,94000
North America,Retail Banking,z-LE-563,Not Started,Employment Practices and Workplace Safety,Employee Relations,2014-03-15,2014-03-18,35359.08,13790.04,36600
North America,Retail Banking,z-LE-564,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2014-03-17,2014-03-20,161451.6,35519.35,166700
North America,Commercial Banking,z-LE-565,Under Review,External Fraud,Theft and Fraud,2014-03-20,2014-03-23,784060.45,203855.72,791500
North America,Trading and Sales,z-LE-567,Not Started,"Execution, Delivery and Process Management",Vendors and Suppliers,2014-03-23,2014-03-26,949052.11,189810.42,946400
North America,Asset Management,z-LE-566,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2014-03-25,2014-03-26,185893.29,42755.46,187600
EMEA,Retail Banking,z-LE-568,Not Started,External Fraud,Systems Security,2014-03-27,2014-03-28,1491.75,358.02,1400
North America,Commercial Banking,z-LE-569,Under Review,"Clients, Products and Business Practices",Advisory Activities,2014-04-01,2014-04-02,278747.41,58536.96,279900
EMEA,Retail Banking,z-LE-571,Under Review,External Fraud,Theft and Fraud,2014-04-03,2014-04-06,132063.64,36977.82,144800
North America,Retail Banking,z-LE-570,Not Started,External Fraud,Theft and Fraud,2014-04-03,2014-04-04,161574.54,40393.64,168200
EMEA,Commercial Banking,z-LE-572,Rejected,Employment Practices and Workplace Safety,Safe Environment,2014-04-11,2014-04-12,118538.21,39117.61,135000
North America,Retail Banking,z-LE-573,In Progress,External Fraud,Theft and Fraud,2014-04-11,2014-04-12,59357.3,14245.75,54100
EMEA,Commercial Banking,z-LE-574,Under Review,"Execution, Delivery and Process Management",Customer/Client Account Management,2014-04-13,2014-04-14,384702.73,92328.66,383600
North America,Retail Banking,z-LE-575,Approved,External Fraud,Systems Security,2014-04-16,2014-04-19,96145.07,27882.07,97100
Asia Pac,Retail Banking,z-LE-576,Rejected,"Execution, Delivery and Process Management",Transaction/Data Management,2014-04-17,2014-04-20,104654.98,34536.14,114200
North America,Retail Banking,z-LE-577,In Progress,External Fraud,Theft and Fraud,2014-04-19,2014-04-21,33081.61,10916.93,32200
North America,Retail Banking,z-LE-578,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2014-04-20,2014-04-21,73827.35,20671.66,80900
North America,Retail Banking,z-LE-579,Approved,Employment Practices and Workplace Safety,Safe Environment,2014-04-20,2014-04-21,223444.92,55861.23,231700
EMEA,Trading and Sales,z-LE-580,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2014-04-26,2014-04-27,79858.49,31144.81,80100
North America,Retail Banking,z-LE-582,In Progress,External Fraud,Theft and Fraud,2014-05-01,2014-05-04,92290.3,25841.28,108400
Asia Pac,Retail Banking,z-LE-581,Not Started,External Fraud,Theft and Fraud,2014-05-03,2014-05-04,255848.44,102339.38,249100
EMEA,Retail Banking,z-LE-583,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2014-05-03,2014-05-06,94322.52,20750.95,101200
Asia Pac,Retail Banking,z-LE-584,Rejected,External Fraud,Systems Security,2014-05-04,2014-05-07,24796.38,9670.59,28100
EMEA,Retail Banking,z-LE-585,Not Started,External Fraud,Theft and Fraud,2014-05-08,2014-05-11,59423.87,16044.44,52500
Asia Pac,Retail Banking,z-LE-586,In Progress,External Fraud,Theft and Fraud,2014-05-16,2014-05-19,267336.6,80200.98,265300
